神社名稱,住所,URL,緯度,経度,電話番号
八幡神社（はちまんじんじゃ）,福井県福井市東大味町３４−１２,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_092527,35.991574,136.264614,-
白山神社（はくさんじんじゃ）,福井県福井市東今泉町１７−１８,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_091504,36.067627,136.262689,-
愛宕神社（あたごじんじゃ）,福井県福井市半田町３０−２９,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_090708,36.005505,136.217716,-
神明神社（しんめいじんじゃ）,福井県福井市半田町５−１−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_090459,36.012169,136.217324,-
白山神社（はくさんじんじゃ）,福井県福井市林町３９−３,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_085657,36.090784,136.270994,-
住吉神社（すみよしじんじゃ）,福井県福井市原目町５−１７,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_084528,36.076307,136.269446,-
日吉神社（ひよしじんじゃ）,福井県福井市浜別所町３４−６９,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_084334,36.144215,136.106791,-
熊野神社（くまのじんじゃ）,福井県福井市浜住町８−５,http://www.jinja-fukui.jp/detail/index.php?ID=20170112_084107,36.131748,136.070183,-
春日神社（かすがじんじゃ）,福井県福井市浜島町１４−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170111_172819,36.148742,136.111976,-
熊野神社（くまのじんじゃ）,福井県福井市花堂北２−２６−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170111_172021,36.042595,136.210118,-
八幡神社（はちまんじんじゃ）,福井県福井市花守町５−２２,http://www.jinja-fukui.jp/detail/index.php?ID=20170111_171835,36.000775,136.169566,-
天満神社（てんまんじんじゃ）,福井県福井市花野谷町５２−２５,http://www.jinja-fukui.jp/detail/index.php?ID=20170111_171653,36.041628,136.290108,-
鹿島神社（かしまじんじゃ）,福井県福井市畠中町２５−１７,http://www.jinja-fukui.jp/detail/index.php?ID=20170111_171534,36.042875,136.044714,-
少名彦神社（すくなひこじんじゃ）,福井県福井市羽坂町２５−２５,http://www.jinja-fukui.jp/detail/index.php?ID=20170111_171357,36.062012,136.140073,-
白山神社（はくさんじんじゃ）,福井県福井市猫瀬町３−２,http://www.jinja-fukui.jp/detail/index.php?ID=20170111_171133,36.0813744,136.119735,-
